NU_INSCRICAO;NU_ANO;CO_MUNICIPIO_RESIDENCIA;NO_MUNICIPIO_RESIDENCIA;CO_UF_RESIDENCIA;SG_UF_RESIDENCIA;NU_IDADE;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;CO_MUNICIPIO_NASCIMENTO;NO_MUNICIPIO_NASCIMENTO;CO_UF_NASCIMENTO;SG_UF_NASCIMENTO;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_ESCOLA;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;IN_BAIXA_VISAO;IN_CEGUEIRA;IN_SURDEZ;IN_DEFICIENCIA_AUDITIVA;IN_SURDO_CEGUEIRA;IN_DEFICIENCIA_FISICA;IN_DEFICIENCIA_MENTAL;IN_DEFICIT_ATENCAO;IN_DISLEXIA;IN_DISCALCULIA;IN_AUTISMO;IN_VISAO_MONOCULAR;IN_OUTRA_DEF;IN_GESTANTE;IN_LACTANTE;IN_IDOSO;IN_ESTUDA_CLASSE_HOSPITALAR;IN_SEM_RECURSO;IN_BRAILLE;IN_AMPLIADA_24;IN_AMPLIADA_18;IN_LEDOR;IN_ACESSO;IN_TRANSCRICAO;IN_LIBRAS;IN_TEMPO_ADICIONAL;IN_LEITURA_LABIAL;IN_MESA_CADEIRA_RODAS;IN_MESA_CADEIRA_SEPARADA;IN_APOIO_PERNA;IN_GUIA_INTERPRETE;IN_COMPUTADOR;IN_CADEIRA_ESPECIAL;IN_CADEIRA_CANHOTO;IN_CADEIRA_ACOLCHOADA;IN_PROVA_DEITADO;IN_MOBILIARIO_OBESO;IN_LAMINA_OVERLAY;IN_PROTETOR_AURICULAR;IN_MEDIDOR_GLICOSE;IN_MAQUINA_BRAILE;IN_SOROBAN;IN_MARCA_PASSO;IN_SONDA;IN_MEDICAMENTOS;IN_SALA_INDIVIDUAL;IN_SALA_ESPECIAL;IN_SALA_ACOMPANHANTE;IN_MOBILIARIO_ESPECIFICO;IN_MATERIAL_ESPECIFICO;IN_NOME_SOCIAL;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025
190001670390;2019;2309300;Nova Russas;23;CE;14;F;1;1;1;2304103;Crateús;23;CE;4;0;1;;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2309300;Nova Russas;23;CE;1;1;1;1;504;508;512;516;586.9;584.1;623.9;720.2;EEACEEBBEBDDEADABAADCBCEDDBBBBACDCBCDBCAEDBBE;ABACADBBBCEECCAACCBEEBDEAEDEEBCCBAADCBBAEACAC;BBEDA99999CBABAECBACCADCDEDBBCBDEBDACEDEECDCCAEDCD;BECEBEABDDEAACCBCDCBBCBEDEBADBBEEBEDCEABCCBDB;0;BEEAAEBEEBADEADDADAEABCEDDDBCBCBCCACBCDADCCEB;CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC;BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD;BEDEEEAADBEBACABCDBABECECACADCBDCCEDCDABECDDD;1;120;120;120;120;100;580;E;F;D;D;4;D;A;B;C;B;B;B;A;B;A;B;A;A;B;B;A;D;A;B;B
190001670656;2019;3156700;Sabará;31;MG;14;M;1;2;1;3156700;Sabará;31;MG;3;0;1;;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3156700;Sabará;31;MG;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;F;E;C;B;5;E;A;B;D;B;A;B;A;A;A;B;A;A;D;B;B;E;B;A;B
190001670715;2019;3129509;Ibiá;31;MG;14;F;1;3;1;3129509;Ibiá;31;MG;4;0;1;;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3104007;Araxá;31;MG;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;G;G;E;E;2;E;D;E;E;C;A;C;B;B;A;C;A;B;E;B;A;D;A;B;B
190001670718;2019;3131307;Ipatinga;31;MG;14;F;1;1;1;3131307;Ipatinga;31;MG;4;0;1;;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3131307;Ipatinga;31;MG;1;1;1;1;503;508;512;515;526;613;612.3;447.9;BEDCBCADCDBBEEECBBAAACDEABAEACADECCECAECBCEDA;ABADADBDCEEEDCBAACBCEDBBAECAEACABECA*CAAEACBC;BBEDA99999CBAAAECCECCAECDEDDECDDEBDACDDBECBECAADBD;CABBEBBEAECECEEDCEDEABBEBCBECAEDBCCEDDEADCBDB;0;AAECACDEADCBCDDDBCBDADAEABCEBABEEBCBEECEBDADC;CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC;BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD;EEEADBEBACABCDBABECECACDCBDCCEDCDABEDECDDDBAA;1;140;160;140;160;140;740;F;D;C;F;4;J;A;C;D;C;A;B;A;B;A;B;A;A;B;B;A;E;A;C;B
190001670724;2019;3141801;Minas Novas;31;MG;14;M;1;1;0;;;;;3;0;1;;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3141801;Minas Novas;31;MG;1;1;1;1;504;509;514;516;416.4;541.3;519;614.4;CDACEDEEDDAAACBCDBCEABEBBDADBCBBDDDCADECBCBCB;CEBECEBCABAAACBEAABABBEBABCADEACBDCAEBDBAADAB;99999ABEABBBCCEEEDDCECBDDEDCDECBDBCECBCACDCBCAAABB;AAECABECDEABBBCDCDACEECEBDEAECACBBCDDEBBAECBD;1;BEEAAEBEEBADEADDADAEABCEDDDBCBCBCCACBCDADCCEB;ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB;EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB;BEDEEEAADBEBACABCDBABECECACADCBDCCEDCDABECDDD;1;100;140;120;140;140;640;D;E;C;D;3;C;A;B;D;A;A;B;A;B;A;A;A;A;B;A;A;D;A;B;B
190001671182;2019;3144805;Nova Lima;31;MG;14;F;1;1;1;3106200;Belo Horizonte;31;MG;4;0;1;;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3106200;Belo Horizonte;31;MG;1;1;1;1;504;508;512;516;596.8;514.8;577.8;718.3;BBCCCEEEEABDEACCBEADABBBBDABBBCACCBCDABADBADB;ABBECDDCCCAEDCBADCDEBDADDECBDCADAACCAECAADDAD;BBEBA99999CBABEECDEECADDBDDDBBCDCCAADDDAECAECAADBA;AECBEBAADDEBAECBDDBACEDCDAAABCACEBCDEEAECCADE;0;BEEAAEBEEBADEADDADAEABCEDDDBCBCBCCACBCDADCCEB;CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC;BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD;BEDEEEAADBEBACABCDBABECECACADCBDCCEDCDABECDDD;1;160;120;180;200;180;840;E;G;D;E;3;Q;C;E;E;C;B;B;B;B;A;B;A;B;D;B;B;E;B;D;B
190001671572;2019;3105103;Bambuí;31;MG;14;F;1;1;1;3105103;Bambuí;31;MG;4;0;1;;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3105103;Bambuí;31;MG;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;F;G;D;D;2;N;D;B;C;A;A;B;C;B;A;B;A;A;C;B;B;D;B;D;B
190001673648;2019;2304707;Granja;23;CE;14;M;1;3;1;2312908;Sobral;23;CE;4;0;1;;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2304707;Granja;23;CE;1;1;1;1;505;508;512;518;465.8;540.4;530.4;624.1;BBCDBCECABDEDDCCDECADBBBECABEBBABAEBECDDDDEBE;ABACADEECAEEDCABEDACBBBDABEECCCBBECAADBEDACEC;99999ABCABCBABCDEEECCDBCEEDBACEA*BBACDEBECABCDCBCD;DEDBBBACBDEACEAECBECBEEBECCCBBABEDCBAAADDECAB;1;DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE;CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC;BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD;DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB;1;120;120;140;120;140;640;G;G;E;D;4;G;D;D;D;C;A;B;A;B;A;B;A;A;C;A;A;C;A;B;B
190001676996;2019;2303006;Caridade;23;CE;14;F;1;1;1;2304400;Fortaleza;23;CE;3;0;1;;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2303006;Caridade;23;CE;1;1;1;1;503;510;513;515;442.9;386;469.5;520.8;BEEACDDECDDEBBADEEACCACEADABDBDABBCBEEABDEBBA;EBCCCACECCDCDABAEADCEDECECADBBBCDBEBCCDCAAADD;99999DCDECDBCCBDBCEEBBEBBCABACCADDBBCBBADCEEEBACCE;ECCEDCBAADBDEDCCCDDCBABCACCBBBEDBCCCCABBDCDDA;1;AAECACDEADCBCDDDBCBDADAEABCEBABEEBCBEECEBDADC;EEBCEEDBADBBCBABCCADCEBACDBBACCACACBEADBBADCB;ADBBEDCABAABBCBCDAAECDDDBAAAECADECDCEBDEEAECBDBBCC;EEEADBEBACABCDBABECECACDCBDCCEDCDABEDECDDDBAA;4;0;0;0;0;0;0;H;E;A;A;3;A;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;B
190001678049;2019;3127701;Governador Valadares;31;MG;12;F;1;2;1;3127701;Governador Valadares;31;MG;3;0;1;;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3127701;Governador Valadares;31;MG;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;E;E;F;B;3;B;A;B;C;A;A;B;A;B;A;A;A;A;B;A;A;B;A;A;B
